snapshot_id,page,row,col,x,y,w,h,dark_ratio,figure_no_guess,file
382,94,1,1,71,194,577,78,0.166644,,diagram_snapshots/diagram_0382_p094_r1c1.png
383,94,1,2,660,194,299,78,0.088371,,diagram_snapshots/diagram_0383_p094_r1c2.png
384,94,2,1,71,284,577,559,0.302896,,diagram_snapshots/diagram_0384_p094_r2c1.png
385,94,2,2,660,284,299,559,0.233521,,diagram_snapshots/diagram_0385_p094_r2c2.png
386,94,3,1,71,855,577,326,0.309779,,diagram_snapshots/diagram_0386_p094_r3c1.png
387,94,3,2,660,855,299,326,0.315243,,diagram_snapshots/diagram_0387_p094_r3c2.png
388,95,1,1,24,210,891,72,0.046748,,diagram_snapshots/diagram_0388_p095_r1c1.png
389,95,2,1,24,294,891,896,0.103202,,diagram_snapshots/diagram_0389_p095_r2c1.png
390,96,1,1,66,194,308,69,0.091709,,diagram_snapshots/diagram_0390_p096_r1c1.png
391,96,1,2,386,194,254,69,0.17397,,diagram_snapshots/diagram_0391_p096_r1c2.png
392,96,1,3,652,194,308,69,0.073405,,diagram_snapshots/diagram_0392_p096_r1c3.png
393,96,2,1,66,275,308,313,0.1321,,diagram_snapshots/diagram_0393_p096_r2c1.png
394,96,2,2,386,275,254,313,0.258924,,diagram_snapshots/diagram_0394_p096_r2c2.png
395,96,2,3,652,275,308,313,0.136478,,diagram_snapshots/diagram_0395_p096_r2c3.png
396,96,3,1,66,600,308,244,0.183348,,diagram_snapshots/diagram_0396_p096_r3c1.png
397,96,3,2,386,600,254,244,0.314735,,diagram_snapshots/diagram_0397_p096_r3c2.png
398,96,3,3,652,600,308,244,0.324436,,diagram_snapshots/diagram_0398_p096_r3c3.png
399,96,4,1,66,856,308,328,0.25386,,diagram_snapshots/diagram_0399_p096_r4c1.png
400,96,4,2,386,856,254,328,0.155536,,diagram_snapshots/diagram_0400_p096_r4c2.png
401,96,4,3,652,856,308,328,0.315321,,diagram_snapshots/diagram_0401_p096_r4c3.png
402,97,1,1,21,203,888,967,0.135882,,diagram_snapshots/diagram_0402_p097_r1c1.png
403,98,1,1,73,193,310,79,0.116374,,diagram_snapshots/diagram_0403_p098_r1c1.png
404,98,1,2,395,193,246,79,0.166101,,diagram_snapshots/diagram_0404_p098_r1c2.png
405,98,1,3,653,193,316,79,0.086244,,diagram_snapshots/diagram_0405_p098_r1c3.png
406,98,2,1,73,284,310,309,0.237269,,diagram_snapshots/diagram_0406_p098_r2c1.png
407,98,2,2,395,284,246,309,0.253401,,diagram_snapshots/diagram_0407_p098_r2c2.png
408,98,2,3,653,284,316,309,0.190539,,diagram_snapshots/diagram_0408_p098_r2c3.png
409,98,3,1,73,605,310,248,0.179201,,diagram_snapshots/diagram_0409_p098_r3c1.png
410,98,3,2,395,605,246,248,0.165568,,diagram_snapshots/diagram_0410_p098_r3c2.png
411,98,3,3,653,605,316,248,0.211311,,diagram_snapshots/diagram_0411_p098_r3c3.png
412,98,4,1,73,865,310,323,0.219744,,diagram_snapshots/diagram_0412_p098_r4c1.png
413,98,4,2,395,865,246,323,0.283244,,diagram_snapshots/diagram_0413_p098_r4c2.png
414,98,4,3,653,865,316,323,0.197457,,diagram_snapshots/diagram_0414_p098_r4c3.png
415,99,1,1,24,216,438,960,0.103598,,diagram_snapshots/diagram_0415_p099_r1c1.png
416,99,1,2,474,216,431,960,0.1178,,diagram_snapshots/diagram_0416_p099_r1c2.png
417,100,1,1,59,208,322,72,0.086957,,diagram_snapshots/diagram_0417_p100_r1c1.png
418,100,1,2,393,208,252,72,0.150132,,diagram_snapshots/diagram_0418_p100_r1c2.png
419,100,1,3,657,208,303,72,0.045563,,diagram_snapshots/diagram_0419_p100_r1c3.png
420,100,2,1,59,292,322,313,0.110015,,diagram_snapshots/diagram_0420_p100_r2c1.png
